ID	ISO_code	Languoid	Genus	Family	Macroarea	Form	Meaning	Example(s)	Translation	Gloss	Type	Type_cat	Haiman	Productivity	Productivity_Cat	History	Notes	Reference
agr_01	agr	Aguaruna	Jivaroan	Jivaroan	South America	Diverse	NA	yu "eat"; su "give"	NA	NA	Lexical	Lex	z	Not productive	No	NA	Transitive and ditransitive; irregular phonological change in high-frequency verb roots, e.g. a-haku "cause the death of a child" < ha "die, be sick"; a-ɨpɨ ‘lay down’ (tr.) < tɨpɨ "lie down" (intr.)	Overall 2007: 120
agr_02	agr	Aguaruna	Jivaroan	Jivaroan	South America	V (vowel ) prefix	NA	i-ta "bring" < ta "arrive"; a-yu "feed" < yu "eat";  i-waina "show" < waina "see"	NA	NA	Morphological	Morph	y + x	Not productive; only a group of high-frequency verbs	No	Older than agr_03	NA	Overall 2007: 302
agr_03	agr	Aguaruna	Jivaroan	Jivaroan	South America	Suffix -miti(ka); The final /ka/ of the causative suffix is replaced by an object suffix in the stem.	The causee's volition or choice is downgraded	amɨ̃  mi-na duʃi-miti(ka)-ha-mɨ-i 	You are making me laugh.	2SG 1SG-ACC laugh-CAUS-1SG.OBJ+IMPFV-2SG-DECL	Morphological	Morph	x + y	The rest of verbs which do not have C2	Partly	More recent than agr_02; the causative suffix is historically morphologically complex, composed of at least two morphs /miti/ and /ka/; the /ka/ element formed part of the valency group.	NA	Overall 2007: 303
agr_04	agr	Aguaruna	Jivaroan	Jivaroan	South America	Speech report construction	Volitional Causee; apparently, non-implicative	nĩ tu-hu-tu-mɨ̃ [nampɨ-ka-ta tu-sã]	He had me dance/asked me to dance.	3SG say-APPLIC-1SG.OBJ-RECPAST:3:DECL [ dance-INTS-IMP say-SBD+3:SS ]	Syntactic	Synt	x # a # b #y	No restrictions specified	Yes	NA	NA	Overall 2007: 304
agx_01	agx	Agul	Lezgic	Nakh-Daghestanian	Eurasia	Compound causative with (a)q’as ‘do’ (+ suffix -r- with verbs); loose compounding: the stem can be separated by other material	Direct causation	tp:rrr aq'.u-na  ʁuza-r-aq'.u-ne-ʁaj ħajwan	He brought his horse to a stop by saying 'tpru'.	IDEOPH do.PF-CVB stop-CMP-do.PF-PFT-QUOT horse	Morphological/Syntactic	MorphSynt	x + y or x # y	Unproductive; with nouns, adjectives, stative verbs and some dynamic verbs (as in the example)	No	NA	Nominative marking for the Causee	Daniel et al. 2012: 75
agx_02	agx	Agul	Lezgic	Nakh-Daghestanian	Eurasia	Periphrastic causative with  (a)q’as ‘do’ and the infinitive	Indirect causation (incl. coercive, curative, assistive, letting, unintentional)	dad.a uč.i-n haraj-ar.i-l-di ħajwan hiš.a-s q'.u-ne	Father's yelling made the horse run away.	father(ERG) self-GEN shout-PL-SUP-LAT horse run.IPF-INF do.IPF-PFT	Syntactic	Synt	x + a # y	Productive with all verbs, except for experiencer statives (love, know) and location statives (be inside)	Partly	NA	NA	Daniel et al. 2012: 62
ain_01	ain	Ainu	Ainu	Ainu	Eurasia	Suffix -re (if the root ends in a vowel or glide), -e (if the root ends in -r) and -te (if the root ends in the other consonants)	Default causative	iku-re "make (someone) drink (liquor)" from iku "drink (liquor)"; raworer-e "to submerge (tr)" from raworer "to sink";  cis-te "to make (someone) cry" from cis "to cry"	NA	NA	Morphological	Morph	x + y	Productive, added to intransitives, transitive and copulas	Yes	NA	NA	Tamura 2000: 214
ain_02	ain	Ainu	Ainu	Ainu	Eurasia	Suffix -yar (to stems that end in vowels), -ar (to stems that end in consonants)	Indefinite' causation: to cause smth to be done, to have (something) done; used when the Causee is unknown, or to show respect when the Causee is known	e-yar "to have something eaten" from e "to eat";  kar-ar "to cause to be made, to have (something) made" from kar "to make"	NA	NA	Morphological	Morph	x + y	Productive, added to intransitives, transitive and copulas	Yes	NA	When attached to intransitives, the verb remains intransitive.	Tamura 2000: 214
and_01	and	Adang	Greater Alor	Timor-Alor-Pantar	Papua	Prefix a- only (1 verb), pronominal prefix + a- (5 verbs), or prefix a- and suffix -ɛ	Direct intentional causation	John na-ri a-Ɂɔl-am	John made me fall over.	John 1SG-ACC CAUS-fall over-PERF	Morphological	Morph	y + x	Only a set of intransitive verbs; non-productive	No	NA	NA	Haan 2001: 245
and_02	and	Adang	Greater Alor	Timor-Alor-Pantar	Papua	Serial verb construction with verb "affect", fixed order (Affectee between V1 and V2)	Non-intentional Causer	John na-nɔɁ Ɂɔl	John made me fall over.	John 1SG-affect fall over	Syntactic	Synt	y # (a) #x	Productive (transitive and intransitive)	Yes	NA	NA	Haan 2001: 250
and_03	and	Adang	Greater Alor	Timor-Alor-Pantar	Papua	Serial verb construction with verb "command", fixed order (Affectee between V1 and V2)	Command	John na-hou Ɂɔl	John told me to fall over.	John 1SG-command fall over	Syntactic	Synt	y # (a) #x	Productive	Yes	NA	NA	Haan 2001: 250
apn_01	apn	Apinayé	Ge-Kaingang	Macro-Ge	South America	Labile verbs	NA	ɔmdu ‘spoil O’, intr. ɔmdu 'go bad; get spoiled'; kaprɨ ‘empty O’, kaprɨ ‘be empty; skinny’	NA	NA	Lexical	Lex	z	Not productive	No	NA	NA	Oliveira 2005: 137
apn_02	apn	Apinayé	Ge-Kaingang	Macro-Ge	South America	Compound with ɔ ‘causative’ preposed to the lexical verb; no intervening elements are allowed between the two morphemes	Direct manipulation; focuses on the effect on the causee	na ka kawə ɔ=dɘt	You filled the basket.	RLS 2 côfo CAUS=full	Morphological	Morph	y + x	Only monovalent verbs	Partly	NA	NA	Oliveira 2005: 265
apn_03	apn	Apinayé	Ge-Kaingang	Macro-Ge	South America	Periphrastic causative with  ɔ anẽ  "do through" expresses the cause, and a subsequent clause encodes the result; paratactic relation; the object of V1 should be coreferential with subject of the second clause;  particle nẽ is inserted after the anẽ if the Causer is not acting volitionally	Volitional and non-volitional Causer	na ka ri ic-t-ɔ anẽ pa rɔp kura	You caused me to hit the dog . (Lit.: You did me thus, I hit the dog, i.e. I was going to hit you with a stick, you stood behind the dog and I hit the dog instead of hitting you).	RLS 2 DEM 1-RP-do thus 1 dog hit	Syntactic	Synt	y # a # x	No restrictions are mentioned.	Yes	NA	NA	Oliveira 2005: 262
arn_01	arn	Mapuche/Mapudungun	Araucanian	Araucanian	South America	Suffix -(ü)m- , m after vowels, üm after consonants	NA	are-m- ‘to heat’ from are- ‘to become hot’; trem-üm- ‘to raise’ from trem- ‘to grow’; ap-üm- ‘to finish’ (tr.) from af- ‘to end’ (intr.); lang-üm- ‘to kill’ from la- ‘to die’ 	NA	NA	Morphological	Morph	x + y	Not productive; combines only with about 35 intransitive roots	No	NA	The only suffix that brings about phonological changes in the root to which it is added.	Smeets 2008: 299
arn_02	arn	Mapuche/Mapudungun	Araucanian	Araucanian	South America	Suffix -(ü)l- , l after vowels, ül after consonants; has allomorph -el-	Sometimes unintentional causation	küpa-l- "bring" from küpa- "come"; apo-l- "fill" from apo- "become full"; trupef-ül- ∼ trupef-el- ‘to frighten’ from  trupef- ‘to get frightened’; llocho-l- ‘to loosen unintentionally’ from llocho- ‘to loosen’, ‘to become loose’	NA	NA	Morphological	Morph	x + y	Productive (transitive, intransitive, loan verbs)	Yes	NA	NA	Smeets 2008: 299-300
arr_01	arr	Karó (Arára)	Ramarama	Tupian	South America	Prefix ma-; if the root begins with /p/ or /k/ -> /b/ or /g/ in an unstressed syllable	Default causative	et owã emakət // et owã e=mak-ə-t	Your mother made me walk.	2SG mother 2SG=CAUS-walk-IND1 [NL: IND1 = indicative 1]	Morphological	Morph	y + x	Almost any intransitive verb, rarely transitive	Partly	NA	NA	Gabas 1999: 81
arr_02	arr	Karó (Arára)	Ramarama	Tupian	South America	Prefix ta-; /t/ changes to /r/ after vowels or glides, and to /n/ after nasal consonants; also triggers the changes on /p/ and /k/ -> /b/ and /g/ in the root if the first syllable of the verb is unstressed	Comitative causation: the causer performs or experiences the action or state he/she/it initiates	wat owã orakət //wat owã o=ta-kə-t	My mother made me walk.	1SG.POSS mother 1SG=COM-walk-IND1 [NL: IND1 = indicative 1]	Morphological	Morph	y + x	No restrictions are mentioned.	Yes	NA	NA	Gabas 1999: 83
atr_01	atr	Waimiri-Atroarí	Atruahi	Cariban	South America	Suffix -py	Make someone do something, cause something without resistance	Ka k-yeepitxah-py-pia.	She/he made us laugh.	3PRO l+2o-laugh-CAUS-IM.P	Morphological	Morph	x + y	Intransitive and transitive (e.g. see)	Yes	NA	Optionally, the Causee may be marked with the agentivity particle ya (NL: in the transitive example!)	Bruno 2003: 100
atr_02	atr	Waimiri-Atroarí	Atruahi	Cariban	South America	Construction with injaky "let/permit" and particle tre'me (purposive?)	Letting causation, non-implicative	Aa ka m-injaky-piany wyty ipy-na tre'me.	'I permitted you to/let you leave to hunt.'	IPRO ka 2o-permit/let-REC.P meat look for-? PART	Syntactic	Synt	y # a #x	No restrictions are mentioned.	Yes	NA	NA	Bruno 2003: 103
bis_01	bis	Bislama	Other	English-based creole	Papua	Analytic construction with verb mekem "make"	Factitive causation	San i mekem hed blong mi i soa.	The sun made my head sore.	NA	Syntactic	Synt	y  # a # x	No restrictions are mentioned.	Yes	NA	NA	Crowley 2004: 172
bis_02	bis	Bislama	Other	English-based creole	Papua	Analytic construction with verb letem "make"	Permissive causation	Jif i letem mifala i huk long rif.	The chief let us go fishing on the reef.	NA	Syntactic	Synt	y  # a # x	No restrictions are mentioned.	Yes	NA	NA	Crowley 2004: 172
cad_01	cad	Caddo	Caddoan	Caddoan	North America	Suffix -(ʹ)iˀn(i) (most common form) or -diˀn (after some morphemes ending in laryngeal consonants) or -ˀ(i) after some morphemes ending in -i or -y; the suffix takes the position -1 (immediately after the root).	Default causative	ciwsisihˀničah //  ci- ba=sisih -iˀn(i) -čah	I'm going to boil it.	I-AGT boil CAUS INTENT	Morphological	Morph	x + y	Transitive and intransitive	Yes	NA	Causee and Affectee (if any) are marked as patients.	Melnar 2004: 165
cad_02	cad	Caddo	Caddoan	Caddoan	North America	Prefix yán-; occurs in position 1 (immediately preceding the root)	Mild causation, i.e. less forceful than cad_01; often with a comitative flavour (e.g. with a motion verb means accompaniment).	háhyánniyah // hák# yán- yi=yah (Chafe e l78)	He drove it away, chased it off.	IND CAUS go.along	Morphological	Morph	y + x	No restrictions are mentioned.	Yes	NA	NA	Melnar 2004: 174
cad_03	cad	Caddo	Caddoan	Caddoan	North America	Prefix -ni; occupies the template position 1	Portative causation	ni-wáhd "bring" from wáhd "come"	NA	NA	Morphological	Morph	y + x	Motion verbs	Partly	NA	If there's prefix haya- 'animate patient’, the meaning is "follow" (non-causative); sometimes comitative sense.	Melnar 2004: 170
cas_01	cas	Mosetén	Mosetenan	Mosetenan	South America 	Prefix ji'-	Direct and indirect causation, permission, invitation (with another marker)	...paj jam ji'-shiph-ke-wa'-ke-' kochi-in.	. . . that she does not let the pigs out.	for NG CA-leave-VK-PR-TR-3F.0 pig-P	Morphological	Morph	y + x	Very productive	Yes	NA	NA	Sakel 2004: 315
cas_02	cas	Mosetén	Mosetenan	Mosetenan	South America 	Prefix je-	NA	Jike bajna-tii- '-in fekoj-Ge- '-in dyiph-dyërä ' je-shi '-ke- '-in.	They fry the seed of the cotton, put them in the fne and then they make her drunk (by making her breathe the smoke).	PS cottonseed-bring-F.S-P smoke-put-VD.3F.O-P then-MO CS-drunk-VK-3F.O-P	Morphological	Morph	y + x	Stative intransitive verbs only	Partly	NA	NA	Sakel 2004: 317
cas_03	cas	Mosetén	Mosetenan	Mosetenan	South America 	Analytic causative with ñi'tyi- 'make', biclausal	NA	Jeb-e-' yäe mö' shiish ñi'-tyi-n-in.	(Someone) made me eat the meat.	eat(tr)-VI-3F.O 1 SG 3F.SG meat make-VD-3S/1SG-P	Syntactic	Synt	x # a # y	No restrictions are mentioned.	Yes	NA	NA	Sakel 2004: 314
cav_01	cav	Cavineña	Tacanan	Tacanan	South America	Suffix -a	NA	butya- ‘lower’ from bute- ‘go down’	NA	NA	Morphological	Morph	x + y	Only a handful of verbs	No	NA	NA	Guillaume 2008: 149
cav_02	cav	Cavineña	Tacanan	Tacanan	South America	Suffix -sha	Direct and indirect causation	Ekwita=raA =tuO ebakwaO pakaka-sha-kware.	The man made the child fall.	person=ERG =3SG(-FM) child fall-CAUS-REM.PAST	Morphological	Morph	x + y	Only intransitive verbs	Partly	NA	NA	Guillaume 2008: 286
cav_03	cav	Cavineña	Tacanan	Tacanan	South America	Suffix -mere	Direct causation if Ce marked as O, indirect if oblique (but no valency increase)	E-puna=raA =tuO ara-mere-wa misiO [tu-ja ebakwa]O.	The woman fed the child with tamale (i.e., she herself put tamale in the child's mouth).	NPF-female=ERG =3SG(-FM) eat-CAUS-PERF tamale 3SG-GEN child	Morphological	Morph	x + y	Only transitive verbs	Partly	NA	NA	Guillaume 2008: 292
cav_04	cav	Cavineña	Tacanan	Tacanan	South America	Suffix -kere	Involved causation	E-raA =tuO ara-kere-chine tortaO [Don Francisco]O.	I invited Mr. Francisco to eat a cake with me.	1SG-ERG =3SG(-FM) eat-CAUS.INVLT-REC.PAST cake [NL: INVLT = involvement]  Mr. Francisco	Morphological	Morph	x + y	Applies to transitives and intransitives, fully regular	Yes	NA	Causee is marked as O.	Guillaume 2008: 298
chr_01	chr	Cherokee (Oklahoma)	Southern Iroquoian	Iroquoian	North America	Suffix -st/-ht (the exact form depends on the aspect), attached directly to the root. If the root ends in an obstruent, then the -ht allomorph is used. If a sonorant or vowel, then -st.	NA	ahyvvtlatiistiisko //a-hyvvtlatií-stíìsk-óɁi	It makes it cold.	3A-get.cold-CAU:INC-HAB [NL: INC = incompletive aspect]	Morphological	Morph	x + y	Only with verbs whose intransitive subject undergoes the action	Partly	NA	NA	Montgomery-Anderson 2008: 360
chr_02	chr	Cherokee (Oklahoma)	Southern Iroquoian	Iroquoian	North America	Periphrastic causative with verbs denoting "cause" or "make"	The Causee is active and controlling.	tiiteehyóóhvski uunoohweéohti niteekv́vhne tiintééhlkwaski //ti-a-at-eehyoóhvsk-i uunii-oohweéloht-i ni-tee-ka-v́vhneéha ti-anii-ateehlkwask-i	The teacher is making her students write.	DST2-3A-RFL-teach:INC\AGT-NOM 3B.PL-write:DVN-NOM2 PRT-DST-3A-make:PRC DST2-3A.PL-learn:INC\AGT-NOM	Syntactic	Synt	x + a # b + y	No restrictions are mentioned.	Yes	NA	NA	Montgomery-Anderson 2008: 361
cid_01	cid	Chimariko	Chimariko	Hokan	North America	Suffix -miy, which adds a recipient or patient	Direct causation, integrated events	ošimiy ‘have someone suck, give to suck’; amamiy ‘to feed, to give to eat’; išimiy ‘to cover’	NA	NA	Morphological	Morph	x + y	No restrictions are mentioned.	Yes	NA	NA	Jany 2009: 125
cid_02	cid	Chimariko	Chimariko	Hokan	North America	Periphrastic causative with ixaˀy ‘to make’	Less direct than cid_01, the events are not integrated.	oši ixaˀy ‘make (let) someone (i.e. baby) suck’	NA	NA	Syntactic	Synt	x # y	No restrictions are mentioned.	Yes	NA	NA	Jany 2009: 124-125
css_01	css	Mutsun	Costanoan	Penutian	North America	Suffix -mpi (occasionally written as -npi)	The Causee is affected in a way that the subject of the mediopassive verb is affected.	mala-mpi- 'to cause (someone) to get wet' from mala-n- 'to get wet'	NA	NA	Morphological	Morph	x + y	No restrictions are mentioned.	Yes	Etymologically comes from -n (mediopassive) and -pi (causative?)	Mediopassive-causative suffix	Okrand 1977: 216
css_02	css	Mutsun	Costanoan	Penutian	North America	Suffix -nu	Causation as putting in a certain position	matlanun kannis ' (He) put me face down'	(He) put me face down.	be.in.a.prone.position-CAUS-PST me [my glosses - NL]	Morphological	Morph	x + y	No restrictions are mentioned.	Yes	NA	Infrequently used	Okrand 1977: 220
css_03	css	Mutsun	Costanoan	Penutian	North America	Suffix -si	The Causee performs some action; often interpreted as mandative (order X to do smth)	ka·nwas lollesi sinnise	I made the baby babble.	 I-him babble-cause child.OBJ [glosses are mine - NL]	Morphological	Morph	x + y	No restrictions are mentioned.	Yes	NA	NA	Okrand 1977: 219
dif_01	dif	Diyari	Pama-Nyungan	Pama-Nyungan	Australia	Suffix -ipa; the morpheme-initial /i/ replaces the final vowel of the root	Manipulative causation (direct)	nhulu karna-li nhinha kupa tharka-ipa-yi	The man stands the child up.	3sgnf.erg person-erg 3sgnf.acc child.acc stand-tr-pres	Morphological	Morph	x + y	Intransitive verbs, 1B (verbs of rest or motion) and 1C roots (many take a semantic experiencer); when applied to transitives, has a benefactive meaning	Partly	NA	No semantic difference from dif_01	Austin 1981: 165
dif_02	dif	Diyari	Pama-Nyungan	Pama-Nyungan	Australia	Suffix -ma	Manipulative causation (direct)	ngathu thurru pali-ma-rna wara-yi	I put the fire out.	1sg.erg fire.acc die-caus-ptcple aux-pres	Morphological	Morph	x + y	Intransitive verbs, 1E roots (only 5 roots on pa-)	Partly	May have arisen for dissimilation purposes.	No semantic difference from dif_02	Austin 1981: 165
dif_03	dif	Diyari	Pama-Nyungan	Pama-Nyungan	Australia	Periphrastic causative with verb nganka- "to make, cause"; the causee = object of the auxiliary, coreferential Causer and Causee are not possible (e.g. I made myself go).	Directive causation	ngathu nhinha nganka-rna wara-yi, thurru nandra-rnanthu	I made him chop some firewood.	1sg.erg 3sgnf.acc make-ptcple aux-pres fire.acc hit-implDS	Syntactic	Synt	y # a # x	Transitive and intransitive verbs	Yes	NA	NA	Austin 1981: 204
eus_01	eus	Basque	Basque	Basque	Eurasia	Inchoative/causative alternation	NA	hil 'die/kill'; sartu 'go in, put in'; atera 'go out, take out'; zabaldu 'open'; jantzi 'dress'; galdu 'get lost, lose'	NA	NA	Lexical	Lex	z	Not productive (only some verbs)	No	NA	Inchoatives are used with intransitive/unaccusative aux. izan; causatives are used with transitive auxiliary *edun	Hualde 2003: 592
eus_02	eus	Basque	Basque	Basque	Eurasia	Forms with infix -ra-	NA	erakutsi "show, make see" < ikusi "see"; irakatsi 'teach, make learn' < ikasi 'learn'; eragin 'cause to make, affect' from egin 'make'; erabili 'use', from ibili 'walk'; erantzi 'undress' from jantzi 'dress'	NA	NA	Morphological	Morph	x + y	Not productive	No	Old pattern	NA	Hualde 2003: 592-3
