ISO 639-3	Reference	URL
agr	Overall, James. 2007. A Grammar of Aguaruna. PhD thesis, La Trobe University Bundoora, Victoria, Australia.	https://researchonline.jcu.edu.au/28174/1/28174-overall-2007-thesis.pdf
jup	Epps, Patience. 2008. A Grammar of Hup. Berlin: Mouton de Gruyter.	NA
eus	Hualde, José Ignacio & Ortiz de Urbina, Jon (eds.). 2003. A Grammar of Basque. Berlin: Mouton de Gruyter.	NA
ude	Nikolaeva, Irina & Tolskaya, Maria. 2001. A Grammar of Udihe. Berlin: Mouton de Gruyter.	NA
arn	Smeets, Ineke. 2008. A Grammar of Mapuche. (Mouton Grammar Library [MGL] 41.) Berlin: De Gruyter Mouton.	NA
snf	Soukka, Maria. 2000. A descriptive grammar of Noon: a cangin language of Senegal. (Lincom studies in African linguistics, 40.) München: Lincom Europa.	NA
wao	Thompson, Sandra A., Sung-Yul Park, Joseph  & Li, Charles N. 2006. A Reference Grammar of Wappo. (University of California Publications in Linguistics, 138.) Berkeley/Los Angeles: University of California Press.	NA 
yuz	van Gijn, Rik. 2006. A Grammar of Yurakare. PhD thesis. Nijmegen: Radboud Universiteit.	http://webdoc.ubn.ru.nl/mono/g/gijn_e_van/gramofyu.pdf
xnz	Abdel-Hafiz, Ahmed Sokarno. 1988. A Reference Grammar of Kunuz Nubian. State University of New York at Buffalo doctoral dissertation.	NA
mhi	Blackings, Mairi John & Fabb, Nigel. 2003. A grammar of Ma'di. (Mouton Grammar Library [MGL] 32.) Berlin: De Gruyter.	NA
guk	Ahland, Colleen Anne. 2012. A Grammar of Northern and Southern Gumuz. University of Oregon doctoral dissertation.	https://scholarsbank.uoregon.edu/xmlui/handle/1794/12559
naq	Hagman, Roy S. 1977. Nama Hottentot Grammar (Indiana University Publications: Language Science Monographs 15). Bloomington: Indiana University.	NA
ikx	Schrock, Terrill. 2014. A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language. Rijksuniversiteit te Leiden doctoral dissertation.	https://openaccess.leidenuniv.nl/handle/1887/30201
sad	Eaton, Helen. 2010. A Sandawe Grammar (SIL e-Books 20). SIL International.	https://www.sil.org/resources/publications/entry/9273
dif	Austin, Peter. 1981. A Grammar of Diyari, South Australia (Cambridge Studies in Linguistics 32). Cambridge University Press.	NA
gyd	Evans, Nicholas D. 1995. A Grammar of Kayardild: With Historical-Comparative Notes on Tangkic (Mouton Grammar Library 15). Berlin: Mouton de Gruyter.	NA
